max_floor_lvl,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,age_of_block,rental_to_sold_ratio,block_street,mrt_dist,school_dist,mall_dist,upcoming_mrt_dist
15,1,0,0,0,0,84,0,0,0,56,28,0,0,0,0,0,0,0,24,0.011764705882352941,10 CHAI CHEE RD,0.0035237482685214895,0.0023189074945828307,0.0016293399137022617,0.0034770039692435693
7,0,0,1,0,0,53,0,0,0,0,0,0,0,0,0,0,53,0,65,54.0,10 DAKOTA CRES,0.001019515861657009,0.0035859944096594005,0.004734627913400462,0.006363299917147007
16,0,0,1,0,0,180,0,0,0,180,0,0,0,0,0,0,0,0,46,0.0055248618784530384,10 EUNOS CRES,0.002506124053488412,0.00508214875464491,0.0038178724835180675,0.006920627651932585
14,0,0,1,0,0,207,0,0,180,26,1,0,0,0,0,0,0,0,47,0.004807692307692308,10 GLOUCESTER RD,0.0010108935966716074,0.0015910054154160635,0.0027492318141528423,0.017561475940984245
13,1,0,0,0,0,133,0,0,132,0,0,0,0,0,0,0,1,0,47,0.015037593984962405,10 HAIG RD,0.002573508818059944,0.0034053728885958504,0.0003295453678569011,0.009863321268925685
14,0,0,0,0,0,101,0,0,0,101,0,0,0,0,0,0,0,0,50,0.00980392156862745,10 HOLLAND AVE,0.002133787483710053,0.0075127732845718005,0.0020176494048529383,0.01722932551109541
10,0,0,0,0,0,120,0,50,0,0,0,0,0,0,0,70,0,0,61,1.392156862745098,10 JLN BT HO SWEE,0.0016454168398771555,0.0036486222732884936,0.0015051196919361504,0.011878861999722951
4,0,0,0,0,0,28,0,0,20,8,0,0,0,0,0,0,0,0,37,0.034482758620689655,10 JLN RUMAH TINGGI,0.00233983944853931,0.0035182933915450104,0.0010335236189854397,0.01685009719294115
12,0,0,1,0,0,132,0,0,0,8,96,28,0,0,0,0,0,0,57,0.007518796992481203,10 JLN BATU,0.0021438972845643253,0.00555366745146272,0.0017963336402462885,0.004270241660665128
12,1,0,1,0,0,92,0,72,16,4,0,0,0,0,0,0,0,0,53,0.010752688172043012,10 JLN KUKOH,0.0020279296718354075,0.004611293607216623,0.0016276452801885645,0.00938714838963645
20,0,0,0,0,0,76,0,0,0,0,76,0,0,0,0,0,0,0,41,0.012987012987012988,10 JOO SENG RD,0.001981300254939055,0.0014377509166024123,0.003746881216644629,0.015938917580660954
25,0,0,0,0,0,96,0,0,0,68,28,0,0,0,0,0,0,0,26,0.010309278350515464,10 LOR 7 TOA PAYOH,0.0038012063439358114,0.00043357791359242587,0.005433114207800446,0.021724346278814328
22,1,0,0,0,0,84,0,0,0,0,84,0,0,0,0,0,0,0,48,0.011764705882352941,10 MARSILING DR,0.0030719432410691843,0.0018802485176768957,0.002667441826431392,0.031787831475697075
16,1,0,0,0,0,224,0,0,0,0,0,0,0,0,224,0,0,0,50,225.0,10 NTH BRIDGE RD,0.0018507399284787903,0.007005056446717177,0.003355094233744471,0.008699746892965935
13,0,0,0,0,0,120,0,0,72,48,0,0,0,0,0,0,0,0,42,0.008264462809917356,10 PINE CL,0.0019573801727534616,0.0024252611390101434,0.005023316097237717,0.008687010073092059
10,1,0,0,0,0,48,0,0,48,0,0,0,0,0,0,0,0,0,60,0.02040816326530612,10 SELEGIE RD,0.0006061790776237568,0.0061723371242078835,0.0010384113229333248,0.008889076415215667
12,0,0,1,0,0,153,0,0,130,22,0,1,0,0,0,0,0,0,46,0.006493506493506494,10 TECK WHYE AVE,0.0014532045319202154,0.002066445812868677,0.000667626314398527,0.005049700319922367
10,1,0,0,0,0,66,0,0,65,0,1,0,0,0,0,0,0,0,49,0.014925373134328358,10 TELOK BLANGAH CRES,0.006351866843366666,0.0030554440468213077,0.00756626346613927,0.006955281215586748
7,0,0,0,0,0,36,0,0,0,0,0,36,0,0,0,0,0,0,35,0.02702702702702703,10 TOH YI DR,0.0028583576371582543,0.0008541396792126182,0.0016605680716069732,0.007418268296667565
40,0,0,0,0,0,220,0,0,71,149,0,0,0,0,0,0,0,0,7,0.004524886877828055,10A BENDEMEER RD,0.0014603597159419343,0.00360717989356564,0.0037406937725115758,0.016305934338151865
40,0,0,1,0,0,228,0,0,76,152,0,0,0,0,0,0,0,0,9,0.004366812227074236,10A BOON TIONG RD,0.0007554656729749581,0.0023833325661028414,0.00043418651966290915,0.012036778552465629
20,0,0,0,0,0,56,0,0,0,0,0,56,0,0,0,0,0,0,29,0.017543859649122806,10B BEDOK STH AVE 2,0.0022236492951914766,0.00116863816260207,0.002945139766476377,0.002260304571943566
40,0,0,0,0,0,184,0,0,70,114,0,0,0,0,0,0,0,0,7,0.005405405405405406,10B BENDEMEER RD,0.0019268382903763223,0.003942683424263729,0.004198148133547771,0.01660941704388439
30,0,0,1,0,0,160,0,13,28,84,0,0,0,35,0,0,0,0,9,0.006211180124223602,10B BOON TIONG RD,0.0006353447103467644,0.0023143884137354284,0.00031413611829983837,0.012153229296759249
25,0,0,0,0,0,96,0,0,0,68,28,0,0,0,0,0,0,0,26,0.010309278350515464,10B LOR 7 TOA PAYOH,0.003941567428534959,0.000674794214216187,0.0055187653323474925,0.021509674298764467
40,0,0,0,0,0,220,0,0,71,149,0,0,0,0,0,0,0,0,7,0.004524886877828055,10C BENDEMEER RD,0.002248841373780108,0.004079284108543907,0.004413954377549923,0.01674415918588187
2,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,29,0.3333333333333333,10C BEDOK STH AVE 2,0.0024809219974948112,0.001230271378468237,0.003189471741961421,0.002516232734120974
23,0,0,0,0,0,84,0,0,0,0,0,84,0,0,0,0,0,0,29,0.011764705882352941,10D BEDOK STH AVE 2,0.0027024182612219168,0.0017179317271592968,0.0034549386605561587,0.002743384714222361
21,0,0,0,0,0,81,0,0,0,0,0,81,0,0,0,0,0,0,31,0.012195121951219513,10E BEDOK STH AVE 2,0.002927190092285458,0.0018374136521568784,0.0036746174633999662,0.0029675449458463664
24,0,0,0,0,0,67,0,0,0,0,0,67,0,0,0,0,0,0,31,0.014705882352941176,10F BEDOK STH AVE 2,0.0024605799277285234,0.001246944611630479,0.003173680686160929,0.0024964104285808988
12,0,0,1,0,0,198,0,0,0,0,0,0,0,0,198,0,0,0,46,199.0,100 ALJUNIED CRES,0.0032750564535634907,0.0027462896026082136,0.0025646198925081505,0.01185248937106079
14,0,0,0,0,0,206,0,0,178,26,1,1,0,0,0,0,0,0,45,0.004830917874396135,100 BEDOK NTH AVE 4,0.0027537421345954676,0.0007456960422380597,0.005611195135949539,0.008204310717212036
10,0,0,0,0,0,75,0,9,61,5,0,0,0,0,0,0,0,0,59,0.013157894736842105,100 C'WEALTH CRES,0.003183823292574901,0.007889377725266237,0.0029191662691237874,0.01885453878542893
16,0,0,0,0,0,192,0,0,192,0,0,0,0,0,0,0,0,0,55,0.0051813471502590676,100 LOR 1 TOA PAYOH,0.0006843598927067236,0.0017608567513560216,0.00755586617144041,0.02320446080256806
25,0,0,0,0,0,96,0,0,0,96,0,0,0,0,0,0,0,0,50,0.010309278350515464,100 WHAMPOA DR,0.0020149564006889434,0.0012717693913919732,0.002699413890754099,0.018885884869743238
25,0,0,0,0,0,96,0,0,0,0,96,0,0,0,0,0,0,0,42,0.010309278350515464,101 AH HOOD RD,0.005252097833691218,0.00539253239356631,0.0006739576192343667,0.021021924459473023
12,1,0,0,0,0,152,0,0,126,22,1,1,0,0,0,0,2,0,46,0.019867549668874173,101 ALJUNIED CRES,0.002922887580224233,0.003333751134652855,0.003113543181549805,0.011888094544047125
